datetime,Latitude,Longitude,geometry
2020-02-10,87.78680025000001,91.71112566666666,POINT (91.71112566666666 87.78680025000001)
2020-02-11,87.82427174999997,89.85075450000001,POINT (89.85075450000001 87.82427174999997)
2020-02-12,87.88121812499999,87.47668920833333,POINT (87.47668920833333 87.88121812499999)
2020-02-13,87.96389454166666,84.02726912499999,POINT (84.02726912499999 87.96389454166666)
2020-02-14,88.02866708333333,80.54802304166667,POINT (80.54802304166667 88.02866708333333)
2020-02-15,88.06766454166667,79.83430225,POINT (79.83430224999999 88.06766454166667)
2020-02-16,88.06702845833335,79.71796758333333,POINT (79.71796758333333 88.06702845833335)
2020-02-17,88.07359554166669,78.86475991666669,POINT (78.86475991666669 88.07359554166669)
2020-02-18,88.11611479166665,77.03619362500001,POINT (77.03619362500001 88.11611479166665)
2020-02-19,88.25618149999998,73.17037441666666,POINT (73.17037441666666 88.25618149999998)
2020-02-20,88.38876437500001,68.93647779166668,POINT (68.93647779166668 88.38876437500001)
2020-02-21,88.50093187499999,66.53159724999999,POINT (66.53159724999999 88.50093187499999)
2020-02-22,88.57240820833333,64.56045366666667,POINT (64.56045366666667 88.57240820833333)
2020-02-23,88.58956,61.26159150000001,POINT (61.26159150000001 88.58956000000001)
2020-02-24,88.58866958333334,54.58749279166667,POINT (54.58749279166667 88.58866958333334)
2020-02-25,88.55877258333334,46.126000874999995,POINT (46.126000875 88.55877258333334)
2020-02-26,88.49019783333335,40.253774583333325,POINT (40.25377458333332 88.49019783333335)
2020-02-27,88.41282583333333,36.731055875,POINT (36.731055875 88.41282583333333)
2020-02-28,88.34388574999998,33.939757041666674,POINT (33.93975704166667 88.34388574999998)
2020-02-29,88.27699954166665,31.99984787500001,POINT (31.99984787500001 88.27699954166665)
2020-03-01,88.223486375,31.404959833333333,POINT (31.40495983333333 88.22348637499999)
2020-03-02,88.18579974999999,31.059417,POINT (31.059417 88.18579974999999)
2020-03-03,88.13481716666666,30.515432833333325,POINT (30.51543283333332 88.13481716666666)
2020-03-04,88.09834337500001,30.508469,POINT (30.508469 88.09834337500001)
2020-03-05,88.09346849999999,30.770090166666666,POINT (30.77009016666667 88.09346849999999)
2020-03-06,88.09819325000002,29.517408166666673,POINT (29.51740816666667 88.09819325000002)
2020-03-07,88.06762595833334,26.85177504166667,POINT (26.85177504166667 88.06762595833334)
2020-03-08,88.01178220833333,25.076252083333333,POINT (25.07625208333333 88.01178220833333)
2020-03-09,87.89227799999999,24.1127115,POINT (24.1127115 87.89227799999999)
2020-03-10,87.74588899999999,24.651457874999995,POINT (24.65145787499999 87.74588899999999)
2020-03-11,87.661686625,24.323512374999996,POINT (24.323512375 87.661686625)
2020-03-12,87.52836770833335,21.528475125,POINT (21.528475125 87.52836770833335)
2020-03-13,87.31076404166669,18.91467245833333,POINT (18.91467245833333 87.31076404166669)
2020-03-14,87.13994508333333,17.216575000000002,POINT (17.216575 87.13994508333333)
2020-03-15,87.0627930833333,15.270889666666667,POINT (15.27088966666667 87.0627930833333)
2020-03-16,86.90261016666669,12.928046916666666,POINT (12.92804691666667 86.90261016666669)
2020-03-17,86.783209375,12.324519000000002,POINT (12.324519 86.783209375)
2020-03-18,86.69102595833334,12.14615575,POINT (12.14615575 86.69102595833334)
2020-03-19,86.53961266666668,13.277259250000002,POINT (13.27725925 86.53961266666668)
2020-03-20,86.341816,14.717512291666665,POINT (14.71751229166667 86.34181599999999)
2020-03-21,86.25840316666667,15.251337833333332,POINT (15.25133783333333 86.25840316666667)
2020-03-22,86.22853887500001,15.71400958333333,POINT (15.71400958333333 86.22853887500001)
2020-03-23,86.21197445833333,15.803762750000002,POINT (15.80376275 86.21197445833333)
2020-03-24,86.18993083333334,15.48768475,POINT (15.48768475 86.18993083333334)
2020-03-25,86.113458875,14.046432166666664,POINT (14.04643216666666 86.11345887500001)
2020-03-26,85.99914195833334,13.141844541666666,POINT (13.14184454166667 85.99914195833334)
2020-03-27,85.82869191666667,13.340876875000001,POINT (13.340876875 85.82869191666667)
2020-03-28,85.59875158333335,13.305780541666666,POINT (13.30578054166667 85.59875158333335)
2020-03-29,85.43249004166667,13.205622749999998,POINT (13.20562275 85.43249004166667)
2020-03-30,85.37396445833332,13.240767666666665,POINT (13.24076766666666 85.37396445833332)
2020-03-31,85.29391237499999,14.067840583333334,POINT (14.06784058333333 85.29391237499999)
2020-04-01,85.11890354166667,15.394706083333334,POINT (15.39470608333333 85.11890354166667)
2020-04-02,84.94925404166668,14.937019708333333,POINT (14.93701970833333 84.94925404166668)
2020-04-03,84.79246504166666,13.541410124999999,POINT (13.541410125 84.79246504166666)
2020-04-04,84.66371754166667,12.955536,POINT (12.955536 84.66371754166667)
2020-04-05,84.57996683333334,13.43600775,POINT (13.43600775 84.57996683333334)
2020-04-06,84.53460616666665,14.267793375000002,POINT (14.267793375 84.53460616666665)
2020-04-07,84.49969700000001,14.532961666666665,POINT (14.53296166666667 84.49969700000001)
2020-04-08,84.47681908333333,14.696910833333332,POINT (14.69691083333333 84.47681908333333)
2020-04-09,84.43105408333334,14.796552041666667,POINT (14.79655204166667 84.43105408333334)
2020-04-10,84.37983625,14.649124041666669,POINT (14.64912404166667 84.37983625)
2020-04-11,84.323833625,14.72522495833333,POINT (14.72522495833333 84.32383362500001)
2020-04-12,84.29174433333334,14.75342029166667,POINT (14.75342029166667 84.29174433333334)
2020-04-13,84.29483679166667,14.932258250000002,POINT (14.93225825 84.29483679166667)
